mean,sem,count
-0.2857142857142857,0.15445023562120813,7
-0.265,0.08121188564717834,10
-0.2303030303030303,0.06862769074530092,22
-0.19545454545454544,0.15469244346804956,11
-0.19305555555555554,0.10047149648003792,12
-0.18602150537634407,0.06748200686858445,31
-0.18194444444444444,0.07832039258392771,12
-0.17708333333333334,0.05920511865438011,24
-0.175,0.09333498675784134,10
-0.175,0.1687142737673357,10
-0.17391304347826086,0.07558021858332312,23
-0.16527777777777777,0.109856394119068,12
-0.16481481481481483,0.11313426776786625,18
-0.1611111111111111,0.09477067838462211,9
-0.15601851851851853,0.054788968148398405,36
-0.15402298850574714,0.05584754722152781,29
-0.153921568627451,0.07642343946193876,17
-0.15,0.09632628113161627,19
-0.14242424242424243,0.10203395246868563,11
-0.13999999999999999,0.08521043781984863,20
-0.13333333333333333,0.07501322634698582,15
-0.13015873015873014,0.04538629706867117,63
-0.12886904761904763,0.05441624332987777,56
-0.11916666666666667,0.08118525310447351,20
-0.11888888888888888,0.07259124283379643,15
-0.11847826086956523,0.049790835343303835,46
-0.11805555555555557,0.06466590612465095,24
-0.11785714285714284,0.1019867399882847,14
-0.11580459770114943,0.04956526474403064,58
-0.11489898989898989,0.045165282219122915,66
-0.11458333333333333,0.08288196210791068,8
-0.11287878787878788,0.07841880616837262,22
-0.11212121212121212,0.11443958551472636,11
-0.10925925925925926,0.15838476530913628,9
-0.10833333333333332,0.10348107717516926,16
-0.10789473684210525,0.07455050946672942,19
-0.10675675675675676,0.05330446642557911,37
-0.10666666666666666,0.1200102876248635,10
-0.10444444444444444,0.08402044766663821,15
-0.1019774011299435,0.048592242627149194,59
-0.10072463768115941,0.06876217711354042,23
-0.09385964912280702,0.086388541267007,19
-0.09242424242424242,0.06708396428702473,33
-0.09195402298850575,0.06309511790705333,29
-0.08939393939393939,0.06679771980409421,22
-0.08888888888888889,0.08947475578283849,21
-0.08888888888888888,0.050767842585781604,63
-0.08873873873873873,0.046107466000025056,37
-0.08823529411764706,0.07824886854569385,17
-0.08787878787878788,0.04974495569138851,44
-0.08695652173913042,0.053770633342546545,46
-0.08592592592592593,0.056010650030351786,45
-0.08535353535353536,0.06529828917925631,33
-0.08529411764705881,0.046970641780650295,51
-0.08518518518518518,0.04924634125004967,63
-0.08492063492063491,0.08956024812855069,21
-0.08333333333333333,0.1405456737852613,10
-0.0824858757062147,0.04289855112720199,59
-0.08229166666666667,0.046167127180004104,64
-0.07962962962962962,0.10671070335841802,9
-0.07894736842105263,0.07197260174303864,19
-0.07866666666666668,0.08359691647689191,25
-0.07857142857142856,0.07427773038715539,14
-0.0782051282051282,0.09813765506948799,13
-0.07777777777777778,0.1257385588639586,9
-0.07749999999999999,0.05067161147691371,60
-0.0771505376344086,0.05273838833054041,62
-0.07692307692307693,0.09643832561022869,13
-0.07539682539682539,0.04318303583200923,63
-0.075,0.07291335971337048,10
-0.07365591397849462,0.074084512888386,31
-0.07333333333333333,0.12095810926734453,10
-0.07259887005649718,0.04486554204966967,59
-0.07222222222222223,0.04879952149417005,36
-0.07222222222222222,0.04552419836711862,63
-0.07142857142857142,0.07546084722676212,28
-0.07116402116402117,0.053603979120182624,63
-0.07107843137254903,0.05550640498197732,34
-0.07063492063492063,0.041817382793353085,63
-0.06888888888888887,0.09784539509035674,15
-0.06875,0.10444823057558406,16
-0.06861111111111112,0.0473581598287403,60
-0.06787878787878789,0.05845282701828848,55
-0.0676923076923077,0.0388157302375268,65
-0.0675,0.07688636522748839,20
-0.0671957671957672,0.04463280657821484,63
-0.06666666666666668,0.10976968031314194,10
-0.06666666666666667,0.05058579404262188,55
-0.06637426900584795,0.04095569536567613,57
-0.06458333333333333,0.11574626309576876,8
-0.06354166666666666,0.10299023180487664,16
-0.06328125,0.044379571465565794,64
-0.06016949152542373,0.05016049465369077,59
-0.06000000000000001,0.08407815294396717,10
-0.059920634920634916,0.046810999643675494,42
-0.05833333333333333,0.10833333333333332,10
-0.05708333333333333,0.06895869645113165,40
-0.05487179487179487,0.05133855060707538,65
-0.05454545454545455,0.03797439372021908,66
-0.054444444444444434,0.07169688097534067,30
-0.05416666666666666,0.0653768115839056,40
-0.053611111111111116,0.04017009438036866,60
-0.053030303030303025,0.08046010937788942,11
-0.052941176470588235,0.08948193411020483,17
-0.05238095238095238,0.06130509307460405,21
-0.05218579234972677,0.04795210404146044,61
-0.052116402116402116,0.03936778510834622,63
-0.0517156862745098,0.04050568634784375,68
-0.05151515151515151,0.04632817531608611,66
-0.05134408602150538,0.05109744895855747,62
-0.05128205128205128,0.05340228377045373,65
-0.050862068965517246,0.046478863337472295,58
-0.049999999999999996,0.06851081807811225,13
-0.04973118279569892,0.0446741864950251,62
-0.04972222222222222,0.04913164935561833,60
-0.04964539007092199,0.04256128507674113,47
-0.049435028248587566,0.04157542337998615,59
-0.04938271604938271,0.04011243554844733,54
-0.049074074074074076,0.07891871182381249,18
-0.04833333333333333,0.11065043388310106,10
-0.04814814814814815,0.053014041076202556,27
-0.04806763285024154,0.04340237607459559,69
-0.047474747474747475,0.043300511184900144,66
-0.04735449735449736,0.04609734640111917,63
-0.047126436781609195,0.04345890938545506,58
-0.04692307692307692,0.05138687203960234,65
-0.04597701149425288,0.0611122907233791,29
-0.04590163934426229,0.047933392958878156,61
-0.045679012345679004,0.06959722562694026,27
-0.04523809523809523,0.04484019365328572,63
-0.04509803921568628,0.114873871457847,17
-0.04490740740740741,0.07157160991534965,36
-0.044444444444444446,0.08022834974779658,12
-0.04426229508196722,0.04651792135913455,61
-0.04344262295081967,0.04410493966177715,61
-0.04289617486338798,0.04924052680797469,61
-0.04270833333333333,0.04862395874632892,48
-0.04230769230769231,0.11705696899713203,13
-0.04220430107526882,0.04406039258398986,62
-0.0421875,0.04656399435950572,64
-0.04210526315789473,0.09222863731873598,19
-0.0419047619047619,0.06275413850437625,35
-0.0407103825136612,0.0460878832857023,61
-0.04013605442176871,0.04152162501349251,49
-0.039285714285714285,0.046242571278731534,70
-0.0392156862745098,0.05883887698378009,34
-0.038888888888888896,0.10709929101971125,12
-0.03888888888888889,0.04107663823629661,63
-0.03888888888888889,0.07315032479515511,21
-0.03873873873873873,0.05866328127337362,37
-0.03802083333333334,0.06659620930297748,32
-0.0369047619047619,0.10418851157652488,14
-0.035925925925925924,0.0507352106893352,45
-0.03563218390804597,0.04554762694665382,58
-0.0343915343915344,0.04394055275165769,63
-0.03423423423423423,0.06784170281460312,37
-0.033080808080808086,0.04233304337070458,66
-0.032051282051282055,0.09339782453033786,13
-0.031720430107526884,0.04626719189896766,62
-0.03166666666666666,0.05168792467115553,60
-0.03075117370892019,0.04000006691158602,71
-0.030666666666666665,0.08204380040676555,25
-0.030208333333333334,0.04136443795451316,64
-0.030000000000000002,0.04011479134459275,60
-0.02835820895522388,0.04490053405430014,67
-0.028055555555555552,0.05512425567304296,60
-0.02733333333333333,0.07192382801990614,25
-0.02722222222222222,0.044104692451173454,60
-0.02716049382716049,0.06041528323495932,27
-0.02675438596491228,0.049245691062535936,38
-0.025537634408602152,0.04519271746532554,62
-0.02549019607843138,0.11150263822623657,17
-0.025409836065573774,0.05289810828332158,61
-0.024242424242424235,0.09128529661703425,22
-0.02416666666666667,0.05311839032118151,40
-0.02388888888888889,0.040850512675544,60
-0.02349726775956284,0.04007123485693918,61
-0.023333333333333327,0.1083034146720667,10
-0.023224043715846993,0.043521168297048045,61
-0.02291666666666667,0.09868199721364619,16
-0.02270114942528735,0.04208491089518667,58
-0.022131147540983605,0.050407750436910065,61
-0.02142857142857143,0.04367603887581939,56
-0.021367521367521364,0.058110230507367654,39
-0.02135416666666666,0.04607390679430782,64
-0.021311475409836068,0.05504887041632815,61
-0.02105263157894737,0.04656377829389088,57
-0.021014492753623187,0.07105313406498777,23
-0.020930232558139538,0.04781459074121016,43
-0.020440251572327046,0.04793267177522154,53
-0.019945355191256828,0.044426487160299344,61
-0.01953125,0.0458281543001952,64
-0.019270833333333334,0.05292788052694319,32
-0.018888888888888886,0.06654554770316731,30
-0.01854838709677419,0.04101348564635337,62
-0.01827956989247312,0.04839772098730771,62
-0.017380952380952382,0.04651957954115866,70
